Date, Open, High, Low, Close, Volume
07/13/12, 90.91, 91.134, 90.76, 91.09, 2316337
07/12/12, 90.93, 90.96, 90.46, 90.81, 1989048
07/11/12, 90.86, 91.08, 90.64, 91.01, 3188650
07/10/12, 91.20, 91.34, 90.60, 90.72, 1832594
07/09/12, 90.99, 91.24, 90.8905, 91.12, 1916565
07/06/12, 90.74, 91.13, 90.70, 91.09, 2612328
07/05/12, 91.00, 91.41, 90.718, 91.21, 2221269
07/03/12, 90.95, 91.26, 90.83, 91.20, 1987430
07/02/12, 90.80, 90.87, 90.40, 90.87, 3810627
06/29/12, 90.98, 91.29, 90.78, 91.29, 3394807
06/28/12, 90.19, 90.49, 90.08, 90.43, 3068612
06/27/12, 90.06, 90.46, 90.06, 90.44, 1917927
06/26/12, 90.11, 90.12, 89.66, 89.90, 2357819
06/25/12, 89.81, 90.05, 89.67, 90.03, 3385514
06/22/12, 89.87, 90.28, 89.85, 90.17, 3211636
06/21/12, 90.40, 90.70, 89.42, 89.56, 4843684
06/20/12, 90.1793, 90.34, 89.82, 90.30, 3718968
06/19/12, 89.69, 90.11, 89.34, 89.95, 2809058
06/18/12, 89.09, 89.34, 89.00, 89.32, 3628103
06/15/12, 89.00, 89.38, 89.00, 89.29, 2683140
06/14/12, 88.49, 89.24, 88.43, 89.13, 3874010
06/13/12, 88.60, 88.92, 88.26, 88.47, 3527188
06/12/12, 88.41, 88.82, 88.26, 88.73, 3648337
06/11/12, 88.90, 88.99, 88.10, 88.11, 5266603
06/08/12, 88.33, 88.90, 88.19, 88.69, 3738015
06/07/12, 88.50, 88.74, 88.04, 88.35, 5454275
06/06/12, 87.49, 88.04, 87.31, 88.02, 2334733
06/05/12, 86.54, 87.38, 86.45, 87.09, 2970101
06/04/12, 86.54, 86.85, 86.43, 86.54, 3125779
06/01/12, 86.58, 87.16, 86.36, 86.47, 5945635
05/31/12, 88.80, 88.80, 87.75, 87.77, 10706287
05/30/12, 88.73, 88.81, 88.53, 88.71, 2543300
05/29/12, 88.53, 89.25, 88.45, 89.11, 4380272
05/25/12, 88.57, 88.64, 88.09, 88.14, 1651468
05/24/12, 88.25, 88.65, 88.25, 88.42, 2183002
05/23/12, 88.29, 88.68, 87.95, 88.40, 4320859
05/22/12, 88.76, 89.1101, 88.38, 88.49, 3675268
05/21/12, 87.6911, 88.56, 87.68, 88.50, 4276884
05/18/12, 88.01, 88.29, 87.48, 87.585, 6525578
05/17/12, 88.82, 88.83, 87.37, 87.59, 8867740
05/16/12, 89.81, 90.05, 88.79, 88.82, 6224401
05/15/12, 90.10, 90.18, 89.70, 89.70, 5242048
05/14/12, 90.50, 90.57, 90.00, 90.14, 4544072
05/11/12, 90.54, 91.15, 90.48, 90.81, 2765105
05/10/12, 90.98, 91.03, 90.52, 90.58, 3353985
05/09/12, 90.77, 90.86, 90.44, 90.68, 3146740
05/08/12, 90.89, 91.07, 90.72, 91.00, 1689609
05/07/12, 90.84, 91.24, 90.61, 91.02, 1906047
05/04/12, 90.94, 91.08, 90.80, 90.87, 2381389
05/03/12, 91.20, 91.25, 90.95, 91.05, 1871852
05/02/12, 90.66, 91.185, 90.60, 91.11, 2040652
05/01/12, 90.85, 91.17, 90.73, 90.76, 3624601
04/30/12, 91.03, 91.22, 90.80, 91.20, 3988956
04/27/12, 91.14, 91.15, 90.90, 91.02, 2300639
04/26/12, 91.00, 91.14, 90.96, 91.06, 2641047
04/25/12, 90.57, 91.00, 90.46, 91.00, 3350960
04/24/12, 90.23, 90.34, 90.10, 90.34, 2049263
04/23/12, 90.02, 90.16, 89.845, 90.13, 2850637
04/20/12, 90.46, 90.46, 90.115, 90.32, 2241454
04/19/12, 90.32, 90.49, 90.08, 90.18, 2597782
04/18/12, 90.24, 90.46, 90.19, 90.35, 3322601
04/17/12, 90.26, 90.49, 90.15, 90.38, 2787372
04/16/12, 90.04, 90.17, 89.715, 89.99, 3804258
04/13/12, 90.11, 90.20, 89.79, 89.85, 2767432
04/12/12, 89.42, 90.21, 89.34, 90.14, 2753420
